127.0.0.1 - - [14/Dec/2020:15:06:43 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:06:45 -0200] "GET /SalaArcoIris/pages/cadastroLivro.html HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:06:45 -0200] "GET /SalaArcoIris/css/base.css HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:06:45 -0200] "GET /SalaArcoIris/css/menuFixo.css HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:06:45 -0200] "GET /SalaArcoIris/js/menuFixo.js HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:06:45 -0200] "GET /SalaArcoIris/js/cadastroLivro.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:06:45 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:06:48 -0200] "GET /SalaArcoIris/pages/fix/menuFixo.html HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:06:48 -0200] "GET /SalaArcoIris/imgs/logo.png HTTP/1.1" 200 16965
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:06:48 -0200] "GET /SalaArcoIris/imgs/icone_menu.jpg HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:07:37 -0200] "GET /SalaArcoIris/pages/cadastroLivro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:07:37 -0200] "GET /SalaArcoIris/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:07:37 -0200] "GET /SalaArcoIris/css/formularios.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:07:37 -0200] "GET /SalaArcoIris/js/cadastroLivro.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:07:38 -0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:08:15 -0200] "GET /SalaArcoIris/pages/cadastroLivro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:08:15 -0200] "GET /SalaArcoIris/pages/cadastroLivro.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:08:18 -0200] "GET /SalaArcoIris/pages/cadastroLivro.html HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:08:18 -0200] "GET /SalaArcoIris/css/menuFixo.css HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [14/Dec/2020:15:08:18 -0200] "GET /SalaArcoIris/css/base.css HTTP/1.1" 200 266
