127.0.0.1 - - [21/Feb/2021:14:40:12 -0300] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:40:40 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:40:40 -0300] "GET /SalaArcoIris/js/fixo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:40:40 -0300] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:40:41 -0300] "GET /SalaArcoIris/pages/fixo/head.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:40:41 -0300] "GET /SalaArcoIris/pages/fixo/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:40:41 -0300] "GET /SalaArcoIris/pages/fixo/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:40:41 -0300] "GET /SalaArcoIris/imgs/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:40:41 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:40:53 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca=undefined HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:41:38 -0300] "GET /SalaArcoIris/pages/aluno/listar.html HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:41:38 -0300] "POST /SalaArcoIris/rest/aluno/inserirA HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:41:39 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:41:54 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:41:54 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca=undefined HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:41:58 -0300] "POST /SalaArcoIris/rest/aluno/inserirA HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:41:58 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:42:00 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca=undefined HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:42:21 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:42:22 -0300] "POST /SalaArcoIris/rest/aluno/inserirA HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:43:16 -0300] "GET /SalaArcoIris/pages/aluno/cadastrar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:43:16 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca=undefined HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:43:18 -0300] "POST /SalaArcoIris/rest/aluno/inserirA HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:43:18 -0300] "GET /SalaArcoIris/rest/aluno/buscarA?valorBusca= HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:43:24 -0300] "GET /SalaArcoIris/pages/aluno/listar.html HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:43:24 -0300] "GET /SalaArcoIris/js/fixo.js HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:43:24 -0300] "GET /SalaArcoIris/js/cadastroAluno.js HTTP/1.1" 200 7791
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:43:24 -0300] "GET /SalaArcoIris/pages/fixo/head.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [21/Feb/2021:14:43:24 -0300] "GET /SalaArcoIris/pages/fixo/header.html HTTP/1.1" 200 1105
